age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
54,Private,180211,Some-college,10,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,60,Other,>50K
39,Private,367260,HS-or-less,9,Previously-Married,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States,<=50K
49,Private,193366,HS-or-less,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
23,Local-gov,190709,Assoc,12,Not-Married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States,<=50K
20,Private,266015,Some-college,10,Not-Married,Sales,Own-child,Black,Male,0,0,44,United-States,<=50K
45,Private,386940,Bachelors,13,Previously-Married,Exec-managerial,Own-child,White,Male,0,1408,40,United-States,<=50K
30,Federal-gov,59951,Some-college,10,Married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
22,State-gov,311512,Some-college,10,Married,Other-service,Husband,Black,Male,0,0,15,United-States,<=50K
48,Private,242406,HS-or-less,7,Not-Married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Other,<=50K
21,Private,197200,Some-college,10,Not-Married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
19,Private,544091,HS-or-less,9,Married,Adm-clerical,Wife,White,Female,0,0,25,United-States,<=50K
31,Private,84154,Some-college,10,Married,Sales,Husband,White,Male,0,0,38,Other,>50K
48,Self-emp,265477,Assoc,12,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,507875,HS-or-less,5,Married,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,<=50K
53,Self-emp,88506,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,172987,Bachelors,13,Married,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K
49,Private,94638,HS-or-less,9,Previously-Married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
25,Private,289980,HS-or-less,9,Not-Married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,<=50K
57,Federal-gov,337895,Bachelors,13,Married,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K
53,Private,144361,HS-or-less,9,Married,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K
44,Private,128354,Masters,14,Previously-Married,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
41,State-gov,101603,Assoc,11,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,271466,Assoc,11,Not-Married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,<=50K
25,Private,32275,Some-college,10,Married,Exec-managerial,Wife,Other,Female,0,0,40,United-States,<=50K
18,Private,226956,HS-or-less,9,Not-Married,Other-service,Own-child,White,Female,0,0,30,Other,<=50K
47,Private,51835,Prof-school,15,Married,Prof-specialty,Wife,White,Female,0,1902,60,Other,>50K
50,Federal-gov,251585,Bachelors,13,Previously-Married,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K
47,Self-emp,109832,HS-or-less,9,Previously-Married,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
43,Private,237993,Some-college,10,Married,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
46,Private,216666,HS-or-less,3,Married,Machine-op-inspct,Husband,White,Male,0,0,40,Other,<=50K
35,Private,56352,Assoc,11,Married,Other-service,Husband,White,Male,0,0,40,Other,<=50K
41,Private,147372,HS-or-less,9,Married,Adm-clerical,Husband,White,Male,0,0,48,United-States,<=50K
30,Private,188146,HS-or-less,9,Married,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,<=50K
30,Private,59496,Bachelors,13,Married,Sales,Husband,White,Male,2407,0,40,United-States,<=50K
32,Private,293936,HS-or-less,4,Married,Prof-specialty,Not-in-family,White,Male,0,0,40,Other,<=50K
48,Private,149640,HS-or-less,9,Married,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
42,Private,116632,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
29,Private,105598,Some-college,10,Previously-Married,Tech-support,Not-in-family,White,Male,0,0,58,United-States,<=50K
36,Private,155537,HS-or-less,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,183175,Some-college,10,Previously-Married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
53,Private,169846,HS-or-less,9,Married,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
49,Self-emp,191681,Some-college,10,Married,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
25,Private,200681,Some-college,10,Not-Married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
19,Private,101509,Some-college,10,Not-Married,Prof-specialty,Own-child,White,Male,0,0,32,United-States,<=50K
31,Private,309974,Bachelors,13,Previously-Married,Sales,Own-child,Black,Female,0,0,40,United-States,<=50K
29,Self-emp,162298,Bachelors,13,Married,Sales,Husband,White,Male,0,0,70,United-States,>50K
23,Private,211678,Some-college,10,Not-Married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
79,Private,124744,Some-college,10,Married,Prof-specialty,Other-relative,White,Male,0,0,20,United-States,<=50K
27,Private,213921,HS-or-less,9,Not-Married,Other-service,Own-child,White,Male,0,0,40,Other,<=50K
40,Private,32214,Assoc,12,Married,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
67,Private,212759,HS-or-less,6,Married,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
18,Private,309634,HS-or-less,7,Not-Married,Other-service,Own-child,White,Female,0,0,22,United-States,<=50K
31,Local-gov,125927,HS-or-less,4,Married,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
18,Private,446839,HS-or-less,9,Not-Married,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50K
52,Private,276515,Bachelors,13,Married,Other-service,Husband,White,Male,0,0,40,Other,<=50K
46,Private,51618,HS-or-less,9,Married,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
59,Private,159937,HS-or-less,9,Married,Sales,Husband,White,Male,0,0,48,United-States,<=50K
44,Private,343591,HS-or-less,9,Previously-Married,Craft-repair,Not-in-family,White,Female,14344,0,40,United-States,>50K
53,Private,346253,HS-or-less,9,Previously-Married,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
49,Local-gov,268234,HS-or-less,9,Married,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
33,Private,202051,Masters,14,Married,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
30,Private,54334,HS-or-less,5,Not-Married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
43,Federal-gov,410867,Doctorate,16,Not-Married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50K
57,Private,249977,Assoc,11,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,286730,Some-college,10,Previously-Married,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K
28,Private,212563,Some-college,10,Previously-Married,Machine-op-inspct,Unmarried,Black,Female,0,0,25,United-States,<=50K
30,Private,117747,HS-or-less,9,Married,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,Other,<=50K
34,Local-gov,226296,Bachelors,13,Married,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
29,Local-gov,115585,Some-college,10,Not-Married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50K
48,Self-emp,191277,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,1902,60,United-States,>50K
37,Private,202683,Some-college,10,Married,Sales,Husband,White,Male,0,0,48,United-States,>50K
48,Private,171095,Assoc,12,Previously-Married,Exec-managerial,Unmarried,White,Female,0,0,40,Other,<=50K
32,Federal-gov,249409,HS-or-less,9,Not-Married,Other-service,Own-child,Black,Male,0,0,40,United-States,<=50K
76,Private,124191,Masters,14,Married,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
44,Private,198282,Bachelors,13,Married,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K
47,Self-emp,149116,Masters,14,Not-Married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
20,Private,188300,Some-college,10,Not-Married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
29,Private,103432,HS-or-less,9,Not-Married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Self-emp,317660,HS-or-less,9,Married,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K
17,Private,304873,HS-or-less,6,Not-Married,Prof-specialty,Own-child,White,Female,34095,0,32,United-States,<=50K
30,Private,194901,HS-or-less,7,Not-Married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
31,Local-gov,189265,HS-or-less,9,Not-Married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
42,Private,124692,HS-or-less,9,Married,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,432376,Bachelors,13,Not-Married,Sales,Other-relative,White,Male,0,0,40,United-States,<=50K
38,Private,65324,Prof-school,15,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
56,Self-emp,335605,HS-or-less,9,Married,Other-service,Husband,White,Male,0,1887,50,Other,>50K
28,Private,377869,Some-college,10,Married,Sales,Wife,White,Female,4064,0,25,United-States,<=50K
36,Private,102864,HS-or-less,9,Not-Married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
53,Private,95647,HS-or-less,5,Married,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K
56,Self-emp,303090,Some-college,10,Married,Sales,Husband,White,Male,0,0,50,United-States,<=50K
49,Local-gov,197371,Assoc,11,Married,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K
55,Private,247552,Some-college,10,Married,Sales,Husband,White,Male,0,0,56,United-States,<=50K
22,Private,102632,HS-or-less,9,Not-Married,Craft-repair,Not-in-family,White,Male,0,0,41,United-States,<=50K
21,Private,199915,Some-college,10,Not-Married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
40,Private,118853,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
30,Private,77143,Bachelors,13,Not-Married,Exec-managerial,Own-child,Black,Male,0,0,40,Other,<=50K
29,State-gov,267989,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
19,Private,301606,Some-college,10,Not-Married,Other-service,Own-child,Black,Male,0,0,35,United-States,<=50K
47,Private,287828,Bachelors,13,Married,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
20,Private,111697,Some-college,10,Not-Married,Adm-clerical,Own-child,White,Female,0,1719,28,United-States,<=50K
31,Private,114937,Assoc,12,Married,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
35,Private,129305,HS-or-less,9,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
39,Private,365739,Some-college,10,Previously-Married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
28,Private,69621,Assoc,12,Not-Married,Sales,Not-in-family,White,Female,0,0,60,United-States,<=50K
24,Private,43323,HS-or-less,9,Not-Married,Other-service,Not-in-family,White,Female,0,1762,40,United-States,<=50K
38,Self-emp,120985,HS-or-less,9,Married,Craft-repair,Husband,White,Male,4386,0,35,United-States,<=50K
37,Private,254202,Bachelors,13,Married,Sales,Husband,White,Male,0,0,50,United-States,<=50K
46,Private,146195,Assoc,12,Previously-Married,Tech-support,Not-in-family,Black,Female,0,0,36,United-States,<=50K
38,Federal-gov,125933,Masters,14,Married,Prof-specialty,Husband,White,Male,0,0,40,Other,>50K
43,Self-emp,56920,HS-or-less,9,Married,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
27,Private,163127,Assoc,11,Married,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
20,Private,34310,Some-college,10,Not-Married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
49,Private,81973,Some-college,10,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
61,Self-emp,66614,HS-or-less,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,232782,Some-college,10,Not-Married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
19,Private,316868,Some-college,10,Not-Married,Other-service,Own-child,White,Male,0,0,30,Other,<=50K
45,Private,196584,Assoc,11,Not-Married,Prof-specialty,Not-in-family,White,Female,0,1564,40,United-States,>50K
70,Private,105376,Some-college,10,Not-Married,Tech-support,Other-relative,White,Male,0,0,40,United-States,<=50K
31,Private,185814,HS-or-less,9,Not-Married,Transport-moving,Unmarried,Black,Female,0,0,30,United-States,<=50K
22,Private,175374,Some-college,10,Married,Other-service,Husband,White,Male,0,0,24,United-States,<=50K
36,Private,108293,HS-or-less,9,Previously-Married,Other-service,Unmarried,White,Female,0,0,24,United-States,<=50K
64,Private,181232,HS-or-less,7,Married,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K
43,Private,174662,Some-college,10,Previously-Married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
47,Local-gov,186009,Some-college,10,Previously-Married,Adm-clerical,Unmarried,White,Female,0,0,38,Other,<=50K
34,Private,198183,HS-or-less,9,Not-Married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
33,Private,163003,Bachelors,13,Not-Married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Other,<=50K
21,Private,296158,HS-or-less,9,Not-Married,Craft-repair,Own-child,White,Male,0,0,35,United-States,<=50K
52,Private,252903,HS-or-less,9,Previously-Married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,>50K
48,Private,187715,HS-or-less,9,Married,Craft-repair,Husband,White,Male,0,0,46,United-States,<=50K
23,Private,214542,Bachelors,13,Not-Married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
71,Self-emp,494223,Some-college,10,Previously-Married,Sales,Unmarried,Black,Male,0,1816,2,United-States,<=50K
29,Private,191535,HS-or-less,9,Previously-Married,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
42,Private,228456,Bachelors,13,Previously-Married,Other-service,Other-relative,Black,Male,0,0,50,United-States,<=50K
68,Private,38317,HS-or-less,2,Previously-Married,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,<=50K
25,Private,252752,HS-or-less,9,Not-Married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
44,Self-emp,78374,Masters,14,Previously-Married,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
28,Private,88419,HS-or-less,9,Not-Married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Other,<=50K
45,Self-emp,201080,Masters,14,Married,Sales,Husband,White,Male,0,0,40,United-States,>50K
36,Private,207157,Some-college,10,Previously-Married,Other-service,Unmarried,White,Female,0,0,40,Other,<=50K
39,Federal-gov,235485,Assoc,12,Not-Married,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States,<=50K
46,State-gov,102628,Masters,14,Previously-Married,Protective-serv,Unmarried,White,Male,0,0,40,United-States,<=50K
18,Private,25828,HS-or-less,7,Not-Married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States,<=50K
66,Local-gov,54826,Assoc,11,Previously-Married,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,<=50K
27,Private,124953,HS-or-less,9,Not-Married,Other-service,Not-in-family,White,Male,0,1980,40,United-States,<=50K
28,State-gov,175325,HS-or-less,9,Married,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
51,Private,96062,Some-college,10,Married,Sales,Husband,White,Male,0,1977,40,United-States,>50K
27,Private,428030,Bachelors,13,Not-Married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
28,State-gov,149624,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
27,Private,253814,HS-or-less,9,Married,Sales,Unmarried,White,Female,0,0,25,United-States,<=50K
21,Private,312956,HS-or-less,9,Not-Married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
34,Private,483777,HS-or-less,9,Not-Married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
18,Private,183930,HS-or-less,9,Not-Married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
33,Private,37274,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,65,United-States,<=50K
44,Local-gov,181344,Some-college,10,Married,Exec-managerial,Husband,Black,Male,0,0,38,United-States,>50K
43,Private,114580,Some-college,10,Previously-Married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
30,Private,633742,Some-college,10,Not-Married,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States,<=50K
40,Private,286370,HS-or-less,4,Married,Machine-op-inspct,Husband,White,Male,0,0,40,Other,>50K
37,Federal-gov,29054,Some-college,10,Married,Adm-clerical,Husband,White,Male,0,0,42,United-States,>50K
34,Private,304030,HS-or-less,9,Married,Adm-clerical,Husband,Black,Male,0,0,40,United-States,<=50K
41,Self-emp,143129,Bachelors,13,Previously-Married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
53,Private,135105,Bachelors,13,Previously-Married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
31,Private,99928,Masters,14,Married,Prof-specialty,Wife,White,Female,0,0,50,United-States,<=50K
58,State-gov,109567,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,0,1,United-States,>50K
38,Private,155222,Some-college,10,Previously-Married,Machine-op-inspct,Not-in-family,Black,Female,0,0,28,United-States,<=50K
24,Private,159567,Some-college,10,Married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
41,Local-gov,523910,Bachelors,13,Married,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
47,Private,120939,Some-college,10,Married,Tech-support,Husband,White,Male,0,0,45,United-States,<=50K
41,Federal-gov,130760,Bachelors,13,Married,Tech-support,Husband,White,Male,0,0,24,United-States,<=50K
23,Private,197387,HS-or-less,3,Married,Transport-moving,Other-relative,White,Male,0,0,40,Other,<=50K
36,Private,99374,Some-college,10,Previously-Married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
40,Federal-gov,56795,Masters,14,Not-Married,Exec-managerial,Not-in-family,White,Female,14084,0,55,United-States,>50K
35,Private,138992,Masters,14,Married,Prof-specialty,Other-relative,White,Male,7298,0,40,United-States,>50K
24,Self-emp,32921,HS-or-less,9,Not-Married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,Private,397317,Masters,14,Not-Married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,<=50K
19,Private,170653,HS-or-less,9,Not-Married,Prof-specialty,Own-child,White,Male,0,0,40,Other,<=50K
51,Private,259323,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
42,Local-gov,254817,Some-college,10,Not-Married,Prof-specialty,Not-in-family,White,Female,0,1340,40,United-States,<=50K
37,State-gov,48211,HS-or-less,9,Previously-Married,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,<=50K
18,Private,140164,HS-or-less,7,Not-Married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
36,Private,128757,Bachelors,13,Married,Other-service,Husband,Black,Male,7298,0,36,United-States,>50K
35,Private,36270,HS-or-less,9,Previously-Married,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
58,Self-emp,210563,HS-or-less,9,Married,Sales,Wife,White,Female,15024,0,35,United-States,>50K
17,Private,65368,HS-or-less,7,Not-Married,Sales,Own-child,White,Female,0,0,12,United-States,<=50K
44,Local-gov,160943,HS-or-less,9,Married,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K
37,Private,208358,HS-or-less,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
35,Private,153790,Some-college,10,Not-Married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
60,Private,85815,HS-or-less,9,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
54,Self-emp,125417,HS-or-less,4,Married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
37,Private,635913,Bachelors,13,Not-Married,Exec-managerial,Not-in-family,Black,Male,0,0,60,United-States,>50K
50,Private,313321,Assoc,12,Previously-Married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
38,Private,182609,Bachelors,13,Married,Sales,Husband,White,Male,0,0,50,Other,<=50K
45,Private,109434,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,55,United-States,<=50K
25,Private,255004,HS-or-less,6,Not-Married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,Private,197860,Some-college,10,Married,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
64,Private,187656,HS-or-less,2,Previously-Married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
90,Private,51744,HS-or-less,9,Not-Married,Other-service,Not-in-family,Black,Male,0,2206,40,United-States,<=50K
54,Private,176681,HS-or-less,9,Married,Adm-clerical,Husband,Black,Male,0,0,20,United-States,<=50K
53,Local-gov,140359,HS-or-less,1,Not-Married,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States,<=50K
18,Private,243313,HS-or-less,9,Not-Married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
60,Private,24215,HS-or-less,6,Previously-Married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,United-States,<=50K
66,Self-emp,167687,HS-or-less,9,Married,Farming-fishing,Husband,White,Male,1409,0,50,United-States,<=50K
75,Private,314209,Assoc,11,Previously-Married,Adm-clerical,Not-in-family,White,Female,0,0,20,Other,<=50K
65,Private,176796,HS-or-less,9,Previously-Married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
35,Private,538583,HS-or-less,7,Previously-Married,Transport-moving,Not-in-family,Black,Male,3674,0,40,United-States,<=50K
41,Private,130408,HS-or-less,9,Previously-Married,Sales,Unmarried,Black,Female,0,0,38,United-States,<=50K
25,Private,159732,Some-college,10,Not-Married,Adm-clerical,Not-in-family,White,Male,0,0,42,United-States,<=50K
33,Private,110978,Some-college,10,Previously-Married,Craft-repair,Other-relative,Other,Female,0,0,40,United-States,<=50K
28,Private,76714,Prof-school,15,Not-Married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,>50K
59,State-gov,268700,HS-or-less,9,Married,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
40,State-gov,170525,Some-college,10,Not-Married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,<=50K
41,Private,180138,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,0,50,Other,>50K
38,Local-gov,115076,Masters,14,Married,Exec-managerial,Husband,White,Male,0,0,70,United-States,>50K
23,Private,115458,HS-or-less,9,Not-Married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
40,Private,347890,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
41,Self-emp,196001,HS-or-less,9,Married,Other-service,Wife,White,Female,0,0,20,United-States,<=50K
24,State-gov,273905,Assoc,12,Married,Protective-serv,Husband,White,Male,0,0,50,United-States,<=50K
20,Private,119156,Some-college,10,Not-Married,Prof-specialty,Own-child,White,Male,0,0,20,United-States,<=50K
38,Private,179488,Some-college,10,Previously-Married,Craft-repair,Not-in-family,White,Male,0,1741,40,United-States,<=50K
56,Private,203580,HS-or-less,9,Married,Adm-clerical,Husband,White,Male,0,0,35,Other,<=50K
58,Private,236596,HS-or-less,9,Married,Adm-clerical,Husband,White,Male,0,0,45,United-States,>50K
32,Private,183916,HS-or-less,9,Not-Married,Other-service,Not-in-family,White,Female,0,0,34,United-States,<=50K
40,Private,207578,Assoc,12,Married,Tech-support,Husband,White,Male,0,1977,60,United-States,>50K
45,Private,153141,HS-or-less,9,Married,Adm-clerical,Husband,White,Male,0,0,40,Other,<=50K
41,Private,112763,Prof-school,15,Married,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
42,Private,390781,Bachelors,13,Married,Adm-clerical,Wife,Black,Female,0,0,40,United-States,<=50K
59,Local-gov,171328,HS-or-less,6,Previously-Married,Other-service,Unmarried,Black,Female,0,0,30,United-States,<=50K
19,Local-gov,27382,Some-college,10,Not-Married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
58,Private,259014,Some-college,10,Not-Married,Transport-moving,Not-in-family,White,Male,0,0,20,United-States,<=50K
